Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
ExtraOpt_ExtraPropertyOff,511,Extra Option Off,익스트라 설정 비활성됨,Extra OFF,Extra OFF,Opción Extra OFF,Opzione Extra OFF,Ekstra OFF,エキストラ無効,額外選項已停用,额外选项已停用,Opcja Extra OFF,
ExtraOpt_TargetFrame,512,Target Frame,대상 프레임,Cadre cible,Zielrahmen,Marco,Frame,Målramme,ターゲットフレーム,目標框架,目标框架,Ramka docelowa,
ExtraOpt_WeightSettings,513,Weight Settings,가중치 설정,Paramètres de poids,Gewichtseinstellungen,Ajustes de peso,Impostazioni del peso,Vægtindstillinger,重量設定,重量設置,重量设置,Ustawienia ciężaru,
ExtraOpt_Offset,514,Offset (0~1),오프셋 (0~1),Décalage (0~1),Offset (0~1),Offset (0~1),Offset (0 ~1),Offset (0~1),オフセット(0〜1),偏移量(0~1),偏移量(0~1),Offset (0 ~ 1),
ExtraOpt_OffsetPrevKeyframe,515,Prev Keyframe,이전 키프레임,Prev - Image clé,Prev Keyframe,Anterior,Precedente,Forrige Keyframe,前のキーフレーム,上一個關鍵幀,上一个关键帧,Poprzednia,
ExtraOpt_OffsetNextKeyframe,516,Next Keyframe,다음 키프레임,Next - Image clé,Next Keyframe,Siguiente,Successivo,Næste Keyframe,次のキーフレーム,下一個關鍵幀,下一个关键帧,Następna,
ExtraOpt_Tab_Depth,517,Depth,깊이,Profondeur,Tiefe,Profundidad,Profondità,Dybde,深さ,深度,深度,Głębokość,
ExtraOpt_Tab_Image,518,Image,이미지,Image,Bild,Imagen,Immagine,Billede,画像,圖片,图片,Obraz,
ExtraOpt_ChangingDepth,519,Changing Depth,깊이 바꾸기,Changement de profondeur,Tiefe ändern,Profundidad cambiante,Modifica della profondità,Ændring af dybde,深さの変更,改變深度,改变深度,Zmiana głębokości,
ExtraOpt_DepthOptOn,520,Depth Option On,깊이 설정 활성됨,Option de profondeur ON,Tiefenoption ON,Opción de profundidad ON,Opzione profondità ON,Dybdeindstilling ON,深さオプション有効,深度選項已激活,深度选项已激活,Opcja Głębi ON,
ExtraOpt_DepthOptOff,521,Depth Option Off,깊이 설정 비활성됨,Option de profondeur OFF,Tiefenoption OFF,Opción de profundidad OFF,Opzione profondità OFF,Dybdeindstilling OFF,深さオプション無効,深度選項已停用,深度选项已停用,Opcja Głębi OFF,
ExtraOpt_DeltaDepth,522,Delta Depth,깊이 변화값,Delta,Delta-Tiefe,Delta,Delta,Delta dybde,デルタ深度,三角洲深度,三角洲深度,Delta Depth,
ExtraOpt_ChangingImage,523,Changing Image,이미지 바꾸기,Changer d'image,Bild wechseln,Cambio de imagen,Modifica dell'immagine,Ændring af billede,画像を変更する,改變形象,改变形象,Zmiana obrazu,
ExtraOpt_ImageOptOn,524,Image Option On,이미지 설정 활성됨,Option d'image ON,Bildoption ON,Opción de imagen ON,Opzione immagine ON,Billedvalg ON,画像オプション有効,圖像選項已激活,图像选项已激活,Opcja Obrazu ON,
ExtraOpt_ImageOptOff,525,Image Option Off,이미지 설정 비활성됨,Option d'image OFF,Bildoption OFF,Opción de imagen OFF,Opzione immagine OFF,Billedvalg OFF,画像オプション無効,圖像選項已停用,图像选项已停用,Opcja Obrazu OFF,
ExtraOpt_SlotOriginal,526,Original,원본,Original,Original,Original,Originale,Original,元の,原版的,原版的,Oryginalny,
ExtraOpt_SlotChanged,527,Changed,변경,Modifié,Geändert,Cambiado,Cambiato,Ændret,かわった,變,变,Zmieniono,
ExtraOpt_SelectImage,528,Select Image,이미지 선택,Sélectionner une image,Bild auswählen,Seleccionar imagen,Seleziona immagine,Vælg billede,画像を選択,選擇圖像,选择图像,Wybierz obraz,
ExtraOpt_ResetImage,529,Reset Image,이미지 다시 설정,Réinitialiser l'image,Bild zurücksetzen,Restablecer imagen,Reimposta immagine,Nulstil billede,画像をリセット,重置圖片,重置图片,Resetuj obraz,
DLG_Setting_LowCPU,530,Optimize the editor's performance for laptops,노트북을 위한 에디터 성능 최적화하기,Optimiser pour les ordinateurs portables,Leistungsoptimierung für Laptops,Optimización del rendimiento para portátiles.,Ottimizzazione delle prestazioni per i laptop,Optimering af ydeevne til bærbare computere,ラップトップ用にエディタを最適化,優化筆記本電腦中的編輯器,优化笔记本电脑中的编辑器,Optymalizacja wydajności edytora dla laptopów,
DLG_Setting_UseDefaultColor,531,Set the mesh default color to the initial value of the modifier color,메시 기본 색상 값을 모디파이어 색상 초기값으로 설정하기,Définissez la couleur par défaut du maillage sur la valeur initiale de la couleur du modificateur,Legen Sie die Standardfarbe des Netzes auf den Anfangswert der Modifikatorfarbe fest,Establezca el color predeterminado de la malla en el valor inicial del color modificador,Imposta il colore predefinito della mesh sul valore iniziale del colore del modificatore,Indstil standardfarven til den oprindelige værdi af modifikationsfarven,メッシュの基本色の値をモディファイヤの色の初期値に設定する,將網格默認顏色設置為修改器顏色的初始值,将网格默认颜色设置为修改器颜色的初始值,Ustaw domyślny kolor siatki na wartość początkową koloru modyfikatora,
DLG_Setting_EnableSelectionLockEditMode,532,Turn on Select Lock whenever editing mode is turned on,편집 모드를 켤 때마다 선택 잠금 켜기,Activer Sélectionner Verrouiller chaque fois que le mode d’édition est activé,Aktivieren Sie Select Lock[c] wenn der Bearbeitungsmodus aktiviert ist,Active el Bloqueo de selección cada vez que se active el modo de edición,Attiva Seleziona blocco ogni volta che si attiva la modalità di modifica,Tænd Vælg lås[c] når redigeringstilstand er tændt,編集モードをオンにするたびに[c]「選択ロック」を有効に,打開編輯模式時[c]啟用“選擇鎖定”,打开编辑模式时[c]启用“选择锁定”,Włącz opcję Select Lock[c] gdy tryb edycji jest włączony,
DLG_Setting_Advanced,533,Advanced Settings,고급 설정,Réglages avancés,Erweiterte Einstellungen,Ajustes avanzados,Impostazioni avanzate,Avancerede indstillinger,詳細設定,高級設置,高级设置,Zaawansowane ustawienia,
DLG_Setting_ShowStartPageOn,534,The start screen is shown every time the editor turned on ,에디터를 켤 때마다 시작 화면 항상 보여주기,L'écran de démarrage est affiché chaque fois que l'éditeur est activé,Der Startbildschirm wird bei jedem Einschalten des Editors angezeigt,La pantalla de inicio se muestra cada vez que se enciende el editor.,La schermata iniziale viene mostrata ogni volta che si accende l'editor,Startskærmen vises hver gang editoren tændes,エディタを起動するたびに開始画面が表示されます。,每次編輯器打開時都會顯示開始屏幕,每次编辑器打开时都会显示开始屏幕,Ekran startowy jest wyświetlany za każdym razem[c] gdy edytor jest włączony,
DLG_AnimClipSavePathValidationError_Title,535,Animation clip save path problem,애니메이션 클립 저장 경로 문제,Problème de chemin de sauvegarde de clip d'animation,Problem beim Speichern des Animationsclips,Problema de la ruta de guardado del clip de animación,Il clip dell'animazione salva il problema del percorso,Animation klip gemme sti problem,アニメーションクリップの保存パスの問題,動畫片段保存路徑問題,动画片段保存路径问题,Klip animacji pozwala zapisać problem ze ścieżką,
DLG_AnimClipSavePathValidationError_Body,536,The path where the animation clips will be saved is not valid. Please reset.,애니메이션 클립이 저장될 경로가 유효하지 않습니다. 다시 설정해주세요.,Le chemin où les clips d'animation seront enregistrés n'est pas valide. S'il vous plaît réinitialiser.,Der Pfad[c] unter dem die Animationsclips gespeichert werden[c] ist ungültig. Bitte zurücksetzen,La ruta donde se guardarán los clips de animación no es válida. Por favor[c] reinicie.,Il percorso in cui verranno salvate le clip di animazione non è valido. Si prega di ripristinare.,Stien[c] hvor animationsklip vil blive gemt[c] er ikke gyldig. Nulstil venligst.,アニメーションクリップが保存されるパスは無効です。リセットしてください。,保存動畫片段的路徑無效。 請重置。,保存动画片段的路径无效。 请重置。,Ścieżka[c] w której zostaną zapisane klipy animacji[c] jest nieprawidłowa. Zresetuj.,
DLG_AnimClipSavePathResetError_Body,537,The configured path is not valid. Animation clips cannot be saved.,설정된 경로가 유효하지 않습니다. 애니메이션 클립을 저장할 수 없습니다.,Le chemin configuré n'est pas valide. Les clips d'animation ne peuvent pas être enregistrés.,Der konfigurierte Pfad ist nicht gültig. Animationsclips können nicht gespeichert werden.,La ruta configurada no es válida. Los clips de animación no se pueden guardar.,Il percorso configurato non è valido. Le clip di animazione non possono essere salvate.,Den konfigurerede sti er ikke gyldig. Animationsklip kan ikke gemmes.,構成されたパスが無効です。アニメーションクリップは保存できません。,配置的路徑無效。 動畫片段無法保存。,配置的路径无效。 动画片段无法保存。,Skonfigurowana ścieżka jest nieprawidłowa. Klipów animacji nie można zapisać.,
DLG_Setting_AmbientColorCorrection,538,Ask if the Ambient color is black whenever you bake,Bake할 때마다 Ambient 색상이 검은색인지 물어보기,Demandez si la couleur [u]Ambiante[u] est noire chaque fois que vous Bake,Fragen Sie[c] ob die [u]Ambient Farbe[u] schwarz ist[c] wenn Sie [u]backen[u],Pregunte si el color [u]Ambiente[u] es negro cada vez que [u]Bake[u],Chiedi se il colore [u]Ambiente[u] è nero ogni volta che [u]Bake[u],Spørg om [u]Ambient[u] farven er sort[c] når du [u]Bages[u],BakeするたびにAmbient色が黒かどうか尋ねて,每當“烘烤”時詢問“環境”顏色是否為黑色,每当“烘烤”时询问“环境”颜色是否为黑色,Zapytaj[c] czy kolor Ambient jest czarny za każdym razem[c] gdy “Bake”,
DLG_ChildMeshGroupAndAnimClip_Title,539,Problems connecting a mesh group,메시 그룹 연결 문제,Problèmes de connexion d'un groupe de mailles,Probleme beim Verbinden einer Netzgruppe,Problemas al conectar un grupo de mallas.,Problemi nel collegamento di un gruppo di mesh,Problemer med at forbinde en maskegruppe,メッシュグループの接続に関する問題,連接網格組時出現問題,连接网格组时出现问题,Problemy z połączeniem grupy siatki,
DLG_ChildMeshGroupAndAnimClip_Body,540,The animation is not played when it is linked with a Child Mesh Group. Are you sure you want to connect to this mesh group?,자식 메시 그룹은 애니메이션 클립이 연결되어도 재생되지 않습니다. 이 메시 그룹에 연결하시겠습니까?,L'animation n'est pas lue lorsqu'elle est liée à un groupe de maillage enfant. Êtes-vous sûr de vouloir vous connecter à ce groupe de mailles?,Die Animation wird nicht abgespielt[c] wenn sie mit einer untergeordneten Maschengruppe verbunden ist. Möchten Sie wirklich eine Verbindung zu dieser Netzgruppe herstellen?,La animación no se reproduce cuando está vinculada a un grupo de malla infantil. ¿Está seguro de que desea conectarse a este grupo de malla?,L'animazione non viene riprodotta quando è collegata a un gruppo mesh figlio. Sei sicuro di voler connetterti a questo gruppo mesh?,Animationen afspilles ikke[c] når den er knyttet til en børnetasegruppe. Er du sikker på[c] at du vil oprette forbindelse til denne maskegruppe?,アニメーションがチャイルドメッシュグループとリンクされている場合[c]アニメーションは再生されません。このメッシュグループに接続してもよろしいですか？,與子網格組鏈接時[c]不播放動畫。您確定要連接到此網狀組嗎？,与子网格组链接时[c]不播放动画。您确定要连接到此网状组吗？,Animacja nie jest odtwarzana[c] gdy jest połączona z grupą potomną siatki. Czy na pewno chcesz połączyć się z tą grupą siatki?,
DLG_CopyAnimCurveToAllKey_Title,541,Copy the Curve setting,커브 복사하기,Copier le réglage de la courbe,Kopieren Sie die Kurveneinstellung,Copia la configuración de la curva,Copia l'impostazione Curva,Kopier kurveindstillingen,カーブをコピーする,複製“曲線”設置,复制“曲线”设置,Skopiuj ustawienie Krzywa,
DLG_CopyAnimCurveToAllKey_Body,542,Select the target to which the current curve setting applies.,현재의 커브 설정이 적용될 대상을 선택하세요.,Sélectionnez la cible à laquelle le paramètre de courbe actuel s'applique.,Wählen Sie das Ziel aus[c] für das die aktuelle Kurveneinstellung gilt.,Seleccione el objetivo al que se aplica la configuración de la curva actual.,Selezionare la destinazione a cui si applica l'impostazione della curva corrente.,Vælg det mål[c] som den aktuelle kurveindstilling gælder for.,現在のカーブの設定が適用される対象を選択します。,選擇當前曲線設置適用的目標。,选择当前曲线设置适用的目标。,Wybierz cel[c] do którego ma zastosowanie ustawienie bieżącej krzywej.,
DLG_CopyAnimCurveToAllKey_AllLayer,543,All Layers,모든 레이어,Tous les calques,Alle Schichten,Todas las capas,Tutti i strati,Alle lag,すべてのレイヤー,所有圖層,所有图层,Wszystkie warstwy,
DLG_CopyAnimCurveToAllKey_SelectedLayer,544,Selected Layer,선택된 레이어,Couche sélectionnée,Ausgewählte schicht,Capa seleccionada,Strato selezionato,Udvalgt lag,選択したレイヤー,選定的圖層,选定的图层,Wybrana warstwa,
AmbientCorrection_Info,545,If the scene's Ambient color is not black[c][]the result may look brighter than the original.,Scene의 Ambient 색상이 검은색이 아니면[c][]결과물이 원본보다 밝게 보여질 수 있습니다.,Si la couleur ambiante de la scène n'est pas noire[c][]le résultat peut paraître plus brillant que l'original.,Wenn die Umgebungsfarbe der Szene nicht schwarz ist[c][]kann das Ergebnis heller erscheinen als das Original.,Si el color ambiente de la escena no es negro[c][]el resultado puede verse más brillante que el original.,Se il colore Ambient della scena non è nero[c][]il risultato potrebbe sembrare più luminoso dell'originale.,Hvis scenens omgivende farve ikke er sort[c][]kan resultatet se lysere ud end originalen.,シーンのAmbient色が黒ではない場合[c][]結果がオリジナルより明るく表示されることがあります。,如果場景的環境顏色不是黑色[c][]則結果可能看起來比原始顏色更亮。,如果场景的环境颜色不是黑色[c][]则结果可能看起来比原始颜色更亮。,Jeśli kolor otoczenia nie jest czarny[c][]wynik może wyglądać jaśniej niż oryginał.,
AmbientCorrection_Convert,546,Convert the ambient color to black,Ambient 색상을 검은색으로 변환하기,Convertir la couleur ambiante en noir,Wandeln Sie die Umgebungsfarbe in Schwarz um,Convertir el color ambiente a negro,Converti il ​​colore dell'ambiente in nero,Konverter den omgivende farve til sort,Ambient色を黒に変換する,將環境顏色轉換為黑色,将环境颜色转换为黑色,Konwertuj kolor otoczenia na czarny,
AmbientCorrection_Ignore,547,Do not show this message,이 메시지 더이상 보지 않기,Ne pas montrer ce message,Diese Nachricht nicht anzeigen,no mostrar este mensaje,Non mostrare questo messaggio,Vis ikke denne besked,このメッセージを表示しない,不要顯示此消息,不要显示此消息,Nie pokazuj tego komunikatu,
MaterialSets,548,Material Sets,재질 세트,Ensembles de matériaux,Materialsets,Conjuntos de materiales,Set di materiali,Materiale sæt,マテリアルセット,材料集,材料集,Materiał,
MakeMaterialSet,549,Make Material Set,재질 세트 만들기,Faire le matériel,Mach ein Material,Hacer un material,Crea un materiale,Lav et materiale,マテリアルセットの作成,製作材料集,制作材料集,Zrób materiał,
SelectMatSetTitle_ToCreate,550,Select a preset[]to create a Material Set,재질 세트를 만들기 위한[]프리셋을 선택하세요.,Sélectionner un préréglage[]pour créer un matériaux,Wählen um ein Material-Set zu erstellen,Seleccione un preset,Seleziona un preset,Vælg en Preset,プリセットを選択します。,選擇預設以創建材料集,选择预设以创建材料集,Wybierz ustawienie wstępne,
MaterialPresets,551,Material Presets,재질 프리셋,Préréglages matériels,Voreinstellungen,Presets de material,Preset materiale,Materiale Preset,マテリアルプリセット,材料預設,材料预设,Ustawienia wstępne,
MakeMaterialPreset,552,Make Material Preset,재질 프리셋 만들기,Créer un matériau prédéfini,Machen Sie eine Voreinstellung,Hacer un preset,Crea un preset,Foretag en Preset,マテリアルプリセット作成,製作材料預設,制作材料预设,Utwórz ustawienie wstępne,
UnpackAdvancedPresets,553,Unpack Advanced Presets,고급 프리셋 팩 설치하기,Déballer les préréglages avancés,Erweiterte Voreinstellungen,Desempaquetar presets avanzados,Disimballare Avanzate Preset,Udpak avancerede Preset,高級プリセットパック,解壓高級預設,解压高级预设,zaawansowane ustawienia wstępne,
UnpackLWRPPreset,554,Unpack LWRP Preset,LWRP 프리셋 팩 설치하기,Déballer le préréglage LWRP,LWRP-Voreinstellungen,Desembalar LWRP Preset,Disimballare LWRP Preset,Udpak LWRP Preset,LWRPプリセットパック,解壓縮LWRP預設,解压缩LWRP预设,Ustawienie wstępne LWRP,
DLG_UnpackMaterialPreset_Title,555,Restart Dialog,다이얼로그 재시작,Redémarrer la boîte de dialogue,Dialog neu starten,Diálogo de reinicio,Riavvia il dialogo,Genstart dialog,ダイアログの再起動,重啟對話框,重启对话框,Uruchom ponownie okno dialogowe,
DLG_UnpackMaterialPreset_Body,556,The Dialog must be restarted to load the imported shaders.[]When the Dialog is closed[c] please open it again.,셰이더를 임포트하기 위해서 다이얼로그가 재시작됩니다.[]다이얼로그가 종료된 후 다시 열어주세요.,Le dialogue doit être redémarré pour charger les shaders nouvellement importés.[]Si le dialogue est fermé[c] veuillez le rouvrir.,Der Dialog wird neu gestartet[c] um die Shader zu laden.[]Bitte öffne es erneut.,El diálogo debe reiniciarse para cargar los shaders.[]Por favor[c] abra de nuevo.,La finestra di dialogo deve essere riavviata per caricare gli shader.[]Per favore aprilo di nuovo.,Dialogboksen skal genstartes for at indlæse shaders.[]Venligst åben det igen.,シェーダをインポートするためにダイアログが終了した後[c]再度開いてください。,必須重新啟動對話框才能加載新導入的著色器。關閉對話框後[c]請再次打開。,必须重新启动对话框才能加载新导入的著色器。关闭对话框后[c]请再次打开。,Należy ponownie uruchomić okno dialogowe[c] aby załadować importowane shadery.[]Jeśli okno dialogowe zostanie zamknięte[c] otwórz je ponownie.,
BasicProperties,557,Basic Properties,기본 속성,Propriétés de base,Grundeigenschaften,Propiedades básicas,Proprietà di base,Grundlæggende egenskaber,基本的なプロパティ,基本屬性,基本属性,Podstawowe właściwości,
BlackAmbientRequired,558,Black Ambient Required,검은색 Ambient 필요,Noir ambiant requis,Schwarze Umgebung erforderlich,Ambiente negro requerido,Ambiente nero richiesto,Sort omgivelse kræves,黒Ambient必要,需要黑色環境,需要黑色环境,Wymagany czarny „Ambient”,
DefaultMaterialON,559,Default Material ON,기본 재질 ON,Matériau par défaut ON,Standardmaterial ON,Predeterminado ON,Materiale di default ON,Standard Materiale ON,基本マテリアルON,默認材料已啟用,默认材料已启用,Domyślne Włączone,
DefaultMaterialOFF,560,Default Material OFF,기본 재질 OFF,Matériau par défaut OFF,Standardmaterial OFF,Predeterminado OFF,Materiale di default OFF,Standard Materiale OFF,基本マテリアルOFF,默認材料已禁用,默认材料已禁用,Domyślne Wyłączone,
Shaders,561,Shaders,셰이더,Shaders,Shader,Shader,Shaders,Shaders,Shader,著色器,着色器,Shadery,
ShaderInfo_1_CS_Gamma,562,1. Color Space : Gamma,1. 감마 색상 공간,1. Espace colorimétrique: Gamma,1. Farbraum: Gamma,1. Espacio de color: Gamma,1. Spazio colore: Gamma,1. Farveplads: Gamma,1. Gammaカラースペース,1.色彩空間：伽瑪,1.色彩空间：伽玛,1. Przestrzeń kolorów: Gamma,
ShaderInfo_BasicRendering,563,Basic Rendering,기본 렌더링,Rendu de base,Grundlegendes Rendern,Representación básica,Rendering di base,Grundlæggende rendering,既定のレンダリング,基本渲染,基本渲染,Renderowanie podstawowy,
ShaderInfo_ClippedRendering,564,Clipped Rendering,클리핑 렌더링,Rendu coupé,Beschnittenes Rendering,Representación recortada,Rendering ritagliato,Clipped Rendering,クリッピングレンダリング,剪裁渲染,剪裁渲染,Renderowanie obcięte,
ShaderInfo_2_CS_Linear,565,2. Color Space : Linear,2. 선형 색상 공간,2. Espace colorimétrique: Linéaire,2. Farbraum: Linear,2. Espacio de color: Lineal,2. Spazio colore: Lineare,2. Farveplads: Lineær,2. Linearカラースペース,2.色彩空間：線性,2.色彩空间：线性,2. Przestrzeń kolorów: Liniowa,
ShaderInfo_3_AlphaMask,566,3. Alpha Mask,3. 알파 마스크,3. Masque Alpha,3. Alpha-Maske,3. Máscara alfa,3. Maschera Alpha,3. Alpha Mask,3. アルファマスク,3.阿爾法面具,3.阿尔法面具,3. Maska alfa,
ShaderProperties,567,Shader Properties,셰이더 속성,Propriétés du shader,Shader-Eigenschaften,Propiedades de Shader,Proprietà shader,Shader Egenskaber,Shader属性,著色器屬性,着色器属性,Właściwości Shadera,
DLG_ShaderPropChangeWarning_Title,568,Change type,타입 변환,Changer le type,Typ ändern,Tipos de cambio,Cambia tipo,Skift type,タイプを変換する,改變類型,改变类型,Zmień typ,
DLG_ShaderPropChangeWarning_Body,569,If you change from a [Texture] type to a different type[c] the Texture Asset property is initialized.[]Do you want to change the type?,[Texture] 타입에서 다른 타입으로 변경한다면[c] 텍스쳐 에셋이 초기화됩니다.[]타입을 변경하시겠습니까?,Si vous passez d'un type [Texture] à un type différent[c] la propriété de texture est initialisée.[]Voulez-vous changer le type?,Wenn Sie von einem Typ [Texture] zu einem anderen Typ wechseln[c] wird die Eigenschaft Texture Asset initialisiert.[]Möchten Sie den Typ ändern?,Si cambia de un tipo [Texture] a un tipo diferente[c] la propiedad de Activo de textura se inicializa.[]¿Desea cambiar el tipo?,Se si modifica da un tipo [Texture] a un tipo diverso[c] la proprietà Asset texture viene inizializzata.[]Si desidera modificare il tipo?,Hvis du skifter fra en [Texture] -type til en anden type[c] initialiseres egenskaben Texture Asset.[]Vil du ændre typen?,[Texture]タイプから別のタイプに変更する場合は[c]テクスチャアセットが初期化されます。[]タイプを変更しますか？,如果從[Texture]類型更改為其他類型[c]則會初始化Texture Asset屬性。[]是否要更改類型？,如果从[Texture]类型更改为其他类型[c]则会初始化Texture Asset属性。 []是否要更改类型？,Jeśli zmienisz typ [Texture] na inny[c] właściwość Zasób tekstury zostanie zainicjowana.[]Czy chcesz zmienić typ?,
CommonTexture,570,Common Texture,공통 텍스쳐,Texture commune,Gemeinsame Textur,Textura común,Struttura comune,Fælles tekstur,共通テクスチャ,常見紋理,常见纹理,Wspólna tekstura,
TexturePerImage,571,Texture per Image,이미지별 텍스쳐,Texture par image,Textur pro Bild,Textura por imagen,Per immagine,Textur pr. Billede,画像ごとに指定されたテクスチャ,每個圖像的紋理,每个图像的纹理,Tekstura na obraz,
DLG_RemoveMatSetProperty_Title,572,Remove Property,프로퍼티 삭제,Supprimer la propriété,Eigenschaft entfernen,Quitar propiedad,Rimuovi proprietà,Fjern ejendom,プロパティの削除,刪除屬性,删除属性,Usuń właściwość,
DLG_RemoveMatSetProperty_Body,573,Do you want to remove the property [ {0} ]?,[ {0} ] 프로퍼티를 삭제하시겠습니까?,Voulez-vous supprimer la propriété [ {0} ]?,Möchten Sie die Eigenschaft [ {0} ] entfernen?,¿Quieres eliminar la propiedad [{0}]?,Vuoi rimuovere la proprietà [ {0} ]?,Vil du fjerne ejendommen [ {0} ]?,[ {0} ]のプロパティを削除しますか？,要刪除屬性[ {0} ]嗎？,要删除属性[ {0} ]吗？,Czy chcesz usunąć właściwość [{0}]?,
AddProperty,574,Add Property,프로퍼티 추가,Ajouter une propriété,Neues Eigentum,Añadir propiedad,Aggiungi proprietà,Tilføj ejendom,プロパティの追加,添加屬性,添加属性,Dodaj właściwość,
DLG_RemoveMatPreset_Title,575,Remove Preset,프리셋 삭제,Supprimer le préréglage,Voreinstellung entfernen,Eliminar preajuste,Rimuovi preset,Fjern forudindstillet,プリセットの削除,刪除預設,删除预设,Usuń ustawienie wstępne,
DLG_RemoveMatPreset_Body,576,Do you want to remove the Preset [ {0} ]?[](This action cannot be undone),[ {0} ] 프리셋을 삭제하시겠습니까?[](이 작업은 실행 취소되지 않습니다.),Voulez-vous supprimer le préréglage [ {0} ]?[](Cette action ne peut pas être annulée),Möchten Sie das Preset [{0}] entfernen?[](Diese Aktion kann nicht rückgängig gemacht werden.),¿Desea eliminar el Preset [{0}]? [] (Esta acción no se puede deshacer),Vuoi rimuovere il Preset [{0}]? [] (Questa azione non può essere annullata),Vil du fjerne forudindstillet [ {0} ]?[](Denne handling kan ikke fortrydes),[ {0} ]のプリセットを削除しますか？[](この操作は元に戻すされません。),是否要刪除預設[ {0} ]？[](此操作無法撤消),是否要删除预设[ {0} ]？ [](此操作无法撤消),Czy chcesz usunąć ustawienie wstępne [ {0} ]?[](Tej akcji nie można cofnąć),
SelectMatSetTitle_ToLink,577,Select a preset to link,연결하기 위한 프리셋을 선택하세요.,Sélectionnez un préréglage,Wählen Sie eine Voreinstellung,Seleccione un ajuste preestablecido para vincular,Seleziona un preset,Vælg en forudindstilling,接続するためのプリセットを選択します。,選擇要鏈接的預設,选择要链接的预设,Wybierz ustawienie wstępne,
Restore,578,Restore,복원하기,Restaurer,Zurücksetzen,Restaurar,Ristabilire,Gendan,復元する,恢復,恢复,Przywracać,
DLG_RestoreMatSetProps_Title,579,Restore properties,속성 복원하기,Restaurer les propriétés,Eigenschaften wiederherstellen,Propiedades de restauración,Ripristina proprietà,Gendan egenskaber,属性復元,恢復屬性,恢复属性,Przywróć właściwości,
DLG_RestoreMatSetProps_Body,580,Do you want to restore all properties to be the same as the linked preset?,모든 속성들을 연결된 프리셋과 동일하도록 복원하겠습니까?,Voulez-vous restaurer toutes les propriétés pour qu'elles soient identiques au préréglage lié?,Möchten Sie alle Eigenschaften so wiederherstellen[c] dass sie mit der verknüpften Voreinstellung übereinstimmen?,¿Desea restaurar todas las propiedades para que sean las mismas que el ajuste preestablecido vinculado?,Vuoi ripristinare tutte le proprietà come le preimpostazioni collegate?,Vil du gendanne alle egenskaber for at være den samme som den forbundne forudindstilling?,すべての属性を接続されたプリセットと同じように復元しますか？,是否要將所有屬性恢復為與鏈接預設相同？,是否要将所有属性恢复为与链接预设相同？,Czy chcesz przywrócić wszystkie właściwości[c] aby były takie same jak powiązane ustawienia wstępne?,
DLG_RemoveMatSet_Title,581,Remove Material Set,재질 세트 삭제,Retirer le matériel,Materialsatz entfernen,Eliminar conjunto de materiales,Rimuovi materiale,Fjern materialesæt,マテリアルセットの削除,刪除材料集,删除材料集,Usuń zestaw materiałów,
DLG_RemoveMatSet_Body,582,Do you want to remove the Material Set [ {0} ]?,[ {0} ] 재질 세트를 삭제하겠습니까?,Voulez-vous supprimer le jeu de matériaux [ {0} ]?,Möchten Sie den Materialsatz [ {0} ] entfernen?,¿Desea eliminar el conjunto de materiales [{0}]?,Vuoi rimuovere il set materiale [ {0} ]?,Vil du fjerne materialesættet [ {0} ]?,[ {0} ]マテリアルセットを削除しますか？,是否要刪除材料集[ {0} ]？,是否要删除材料集[ {0} ]？,Czy chcesz usunąć zestaw materiałów [ {0} ]?,
DLG_ReservedMatSetWarning_Title,583,Reserved Material Set,변경 불가능한 재질,Matériel réservé,Materialsatz ist reserviert,Conjunto de material reservado,Set di materiali riservati,Reserveret materiale sæt,変更不可能なマテリアル,預留材料組,预留材料组,Zarezerwowany zestaw materiałów,
DLG_ReservedMatSetWarning_Body,584,This is a Material that can not be modified.,이 재질은 수정되지 않습니다.,Ceci est un matériau qui ne peut pas être modifié.,Dies ist ein Material[c] das nicht geändert werden kann.,Este es un material que no puede ser modificado.,Questo è un materiale che non può essere modificato.,Dette er et materiale[c] der ikke kan ændres.,このマテリアルは変更されません。,這是一個無法修改的材料。,这是一个无法修改的材料。,Jest to materiał[c] którego nie można modyfikować.,
DLG_SetValueToPresetMatSet_Title,585,Set Properties,속성 설정,Définir les propriétés,Eigenschaften festlegen,Establecer propiedades,Imposta proprietà,Indstil egenskaber,プロパティの設定,設置屬性,设置属性,Ustaw właściwości,
DLG_SetValueToPresetMatSet_Body,586,Do you want to set properties to be the same as the Preset?,프리셋과 동일하게 속성들을 변경하시겠습니까?,Voulez-vous que les propriétés soient identiques à celles du paramètre prédéfini?,Möchten Sie die Eigenschaften so einstellen[c] dass sie mit denen der Voreinstellung übereinstimmen?,¿Desea configurar las propiedades para que sean las mismas que las predefinidas?,Vuoi impostare le proprietà per essere uguale al Preset?,Vil du indstille egenskaber til at være den samme som forindstillingen?,プリセットと同じように属性を変更しますか？,是否要將屬性設置為與Preset相同？,是否要将属性设置为与Preset相同？,Czy chcesz ustawić właściwości[c] aby były takie same jak ustawienia wstępne?,
